,Entry,Employee Subgroup
1354,1992,Salary Grade Less 12
1377,2011,Salary Grade Less 12
1408,1987,Salary Grade 12
1413,2006,Salary Grade Less 12
1441,2011,Hourly
1443,2000,Hourly
1457,2002,Salary Grade 12
1468,2005,Salary Grade Less 12
1474,2005,Salary Grade 12
1482,1999,Salary Grade Less 12
1512,2007,Hourly
1514,1998,Hourly
1515,2010,Hourly
1516,1998,Hourly
1517,2007,Nonexempt
1518,2015,Nonexempt
1520,1998,Hourly
1521,2006,Nonexempt
1522,2009,Hourly
1523,2009,Hourly
1525,2010,Hourly
1526,2011,Hourly
1527,2005,Hourly
1528,1998,Nonexempt
1529,1998,Nonexempt
1530,1997,Hourly
1531,2015,Hourly
1532,2005,Hourly
1533,2007,Hourly
1534,2015,Nonexempt
1535,1998,Nonexempt
1536,2015,Hourly
1537,2007,Hourly
1538,2012,Hourly
1541,1997,Hourly
1542,1999,Salary Grade Less 12
1543,2007,Hourly
1544,1996,Salary Grade Less 12
1545,1996,Nonexempt
1546,2015,Nonexempt
1547,2006,Hourly
1548,2010,Hourly
1549,2011,Salary Grade Less 12
1550,2010,Hourly
1551,1999,Hourly
1552,2010,Hourly
1553,2010,Hourly
1554,2015,Nonexempt
1555,2006,Salary Grade Less 12
1557,2007,Salary Grade Less 12
1558,1998,Salary Grade Less 12
1560,1997,Hourly
1561,2015,Nonexempt
1562,2000,Nonexempt
1563,2006,Hourly
1564,2013,Nonexempt
1566,1997,Hourly
1574,2011,Salary Grade Less 12
1583,1993,Salary Grade Less 12
1585,1994,Salary Grade 12
1586,1992,Salary Grade Less 12
1587,1998,Salary Grade Less 12
1588,1998,Salary Grade Less 12
1589,2006,Salary Grade Less 12
1590,2006,Salary Grade Less 12
1591,2006,Salary Grade Less 12
1592,2006,Nonexempt
1593,2006,Hourly
1594,2006,Salary Grade Less 12
1595,2006,Hourly
1596,1998,Executive
1597,2006,Salary Grade Less 12
1598,2006,Salary Grade 12
1599,2006,Executive
1600,2006,Salary Grade Less 12
1601,2006,Salary Grade Less 12
1602,2001,Salary Grade Less 12
1603,2006,Salary Grade Less 12
1604,2006,Nonexempt
1605,2006,Nonexempt
1606,2006,Nonexempt
1607,2006,Salary Grade Less 12
1608,2006,Hourly
1609,2006,Nonexempt
1610,2006,Hourly
1611,2006,Nonexempt
1612,2006,Hourly
1613,2006,Nonexempt
1614,2006,Hourly
1615,2006,Salary Grade Less 12
1616,2006,Hourly
1617,2006,Nonexempt
1618,2006,Nonexempt
1619,2006,Nonexempt
1620,2006,Hourly
1621,2000,Salary Grade Less 12
1622,2000,Hourly
1623,2000,Hourly
1624,2001,Salary Grade Less 12
1625,1974,Salary Grade 12
1626,2002,Hourly
1627,1996,Salary Grade Less 12
1628,2003,Hourly
1629,2004,Salary Grade Less 12
1630,2004,Salary Grade 12
1631,2006,Salary Grade Less 12
1632,2006,Nonexempt
1633,2006,Salary Grade Less 12
1634,2006,Nonexempt
1635,2006,Nonexempt
1636,2007,Hourly
1637,2008,Hourly
1638,2007,Salary Grade Less 12
1639,2008,Nonexempt
1640,2008,Nonexempt
1641,2008,Hourly
1642,2008,Salary Grade Less 12
1643,2010,Hourly
1644,2009,Hourly
1645,2009,Hourly
1646,2010,Hourly
1647,2011,Nonexempt
1648,2010,Hourly
1649,2010,Hourly
1650,2010,Hourly
1651,2010,Salary Grade Less 12
1652,2010,Salary Grade 12
1653,2010,Hourly
1654,2010,Salary Grade 12
1655,2011,Hourly
1656,2010,Salary Grade Less 12
1657,2010,Salary Grade Less 12
1658,2010,Salary Grade Less 12
1659,2001,Salary Grade Less 12
1660,1993,Salary Grade Less 12
1661,2011,Salary Grade Less 12
1662,2011,Hourly
1663,2011,Nonexempt
1664,2011,Hourly
1665,2011,Hourly
1666,2011,Salary Grade Less 12
1667,2002,Salary Grade Less 12
1668,2011,Salary Grade Less 12
1669,2011,Hourly
1670,2011,Hourly
1671,2012,Hourly
1672,2012,Salary Grade Less 12
1673,2012,Nonexempt
1674,2012,Salary Grade Less 12
1675,2009,Salary Grade Less 12
1676,2012,Hourly
1677,2012,Hourly
1678,2012,Salary Grade Less 12
1679,2012,Hourly
1680,2012,Hourly
1681,2013,Hourly
1682,2013,Executive
1683,2013,Hourly
1684,2013,Salary Grade Less 12
1685,2013,Hourly
1686,2004,Salary Grade 12
1687,2013,Salary Grade Less 12
1688,2013,Hourly
1689,2013,Hourly
1690,2004,Salary Grade Less 12
1691,2013,Hourly
1692,2013,Nonexempt
1693,2014,Hourly
1694,2013,Salary Grade Less 12
1695,2014,Nonexempt
1696,2014,Hourly
1698,2014,Salary Grade Less 12
1699,2014,Salary Grade Less 12
1700,2014,Salary Grade 12
1701,2014,Hourly
1702,2014,Salary Grade Less 12
1703,2015,Hourly
1704,2014,Hourly
1705,2014,Hourly
1707,2014,Hourly
1708,2014,Hourly
1709,2015,Salary Grade Less 12
1711,2015,Salary Grade Less 12
1712,2015,Hourly
1713,2015,Hourly
1714,2015,Hourly
1715,2015,Hourly
1716,2015,Salary Grade Less 12
1717,1998,Salary Grade Less 12
1718,2005,Salary Grade 12
1719,2015,Hourly
1720,2015,Hourly
1721,2015,Salary Grade 12
1722,2015,Salary Grade Less 12
1724,2015,Hourly
1725,2015,Hourly
1726,2015,Salary Grade 12
1727,2015,Nonexempt
1728,2015,Salary Grade Less 12
1729,2015,Salary Grade Less 12
1744,2013,Salary Grade Less 12
1745,2015,Salary Grade Less 12
1747,2011,Salary Grade Less 12
1749,2009,Salary Grade Less 12
1750,1996,Salary Grade Less 12
1752,2015,Salary Grade Less 12
1755,2012,Salary Grade Less 12
1757,2013,Salary Grade Less 12
1758,2010,Executive
1760,2015,Nonexempt
1765,2015,Salary Grade Less 12
1766,2003,Salary Grade 12
1769,2015,Nonexempt
1770,2000,Salary Grade Less 12
1772,1987,Executive
1775,2015,Salary Grade Less 12
1777,1994,Salary Grade 12
1778,1997,Salary Grade Less 12
1779,2003,Salary Grade Less 12
1780,1998,Nonexempt
1781,1979,Salary Grade Less 12
1782,2000,Salary Grade Less 12
1783,2015,Nonexempt
1784,2002,Salary Grade Less 12
1785,2000,Salary Grade Less 12
1786,2000,Salary Grade Less 12
1788,2013,Hourly
1789,2004,Salary Grade Less 12
1790,2015,Hourly
1791,2005,Salary Grade Less 12
1792,2014,Hourly
1793,2006,Salary Grade Less 12
1794,2004,Salary Grade Less 12
1795,2015,Hourly
1796,2008,Hourly
1797,1999,Hourly
1798,2011,Hourly
1799,1994,Hourly
1800,2015,Hourly
1803,1984,Salary Grade Less 12
1804,2007,Hourly
1805,2004,Hourly
1806,2015,Salary Grade Less 12
1807,2015,Nonexempt
1808,1997,Nonexempt
1809,2013,Salary Grade Less 12
1810,2014,Salary Grade Less 12
1811,2013,Salary Grade Less 12
1812,2008,Hourly
1813,2009,Hourly
1814,2015,Hourly
1815,2010,Salary Grade Less 12
1816,1991,Salary Grade Less 12
1817,2013,Hourly
1818,2015,Hourly
1819,2013,Hourly
1820,1999,Salary Grade Less 12
1822,1999,Salary Grade Less 12
1824,2014,Salary Grade Less 12
1825,2014,Salary Grade Less 12
1826,2009,Salary Grade Less 12
1827,2014,Hourly
1829,2012,Salary Grade Less 12
1830,2015,Hourly
1831,2011,Hourly
1832,2015,Hourly
1833,2011,Hourly
1834,2012,Hourly
1836,2014,Salary Grade Less 12
1837,2011,Salary Grade Less 12
1838,2014,Hourly
1839,2010,Hourly
1861,2008,Salary Grade Less 12
1868,2009,Salary Grade Less 12
1878,2006,Salary Grade Less 12
1884,2000,Executive
1900,2011,Salary Grade Less 12
1950,2006,Salary Grade Less 12
1951,1993,Executive
1955,1995,Executive
1960,2009,Salary Grade Less 12
1980,2010,Salary Grade Less 12
2002,2012,Salary Grade Less 12
2005,2011,Salary Grade Less 12
2008,2012,Salary Grade Less 12
2022,2006,Salary Grade Less 12
2033,2007,Executive
2037,2012,Salary Grade Less 12
2047,1993,Salary Grade Less 12
2050,2006,Salary Grade Less 12
2051,2013,Salary Grade Less 12
2053,1992,Salary Grade 12
2054,2006,Salary Grade Less 12
2055,2011,Salary Grade Less 12
2075,2013,Salary Grade Less 12
2080,1980,Salary Grade Less 12
2123,2009,Salary Grade 12
2134,2008,Salary Grade Less 12
2159,2007,Executive
2163,2014,Salary Grade Less 12
2201,2013,Salary Grade Less 12
2279,2004,Salary Grade Less 12
2280,2012,Executive
2297,2012,Executive
2303,2012,Salary Grade Less 12
2312,2011,Salary Grade Less 12
2329,2004,Hourly
2370,2011,Salary Grade Less 12
2391,1993,Salary Grade Less 12
2398,2013,Salary Grade Less 12
2400,2003,Nonexempt
2405,2005,Nonexempt
2424,2012,Salary Grade Less 12
2427,2011,Salary Grade Less 12
2431,2015,Salary Grade Less 12
2437,2004,Executive
2438,2005,Executive
2439,2010,Salary Grade Less 12
2446,1991,Salary Grade Less 12
2466,2012,Salary Grade Less 12
2514,2011,Salary Grade 12
2517,2013,Salary Grade Less 12
2557,2008,Executive
2587,1993,Senior Executive
2590,2006,Salary Grade Less 12
2593,2014,Salary Grade 12
2598,2010,Salary Grade Less 12
2640,2015,Hourly
2668,1997,Executive
2670,2008,Salary Grade Less 12
2677,2006,Salary Grade Less 12
2686,2008,Salary Grade Less 12
2687,2013,Salary Grade Less 12
2690,2015,Salary Grade Less 12
2691,2012,Salary Grade Less 12
2705,2012,Salary Grade 12
2722,2014,Hourly
2735,2011,Salary Grade Less 12
2737,2002,Executive
2739,2014,Hourly
2813,2006,Salary Grade 12
2825,2009,Salary Grade Less 12
2854,1995,Salary Grade 12
2871,2004,Salary Grade Less 12
2877,1992,Salary Grade 12
2924,2005,Salary Grade Less 12
2974,2012,Salary Grade 12
2993,2004,Salary Grade 12
3005,2011,Salary Grade Less 12
3008,2005,Executive
3021,2009,Salary Grade Less 12
3023,2015,Salary Grade Less 12
3032,2013,Salary Grade Less 12
3044,2011,Salary Grade Less 12
3051,2012,Salary Grade Less 12
3052,2015,Salary Grade Less 12
3064,2005,Senior Executive
3070,2014,Salary Grade Less 12
3094,2005,Salary Grade 12
3098,2014,Salary Grade Less 12
3102,2015,Salary Grade Less 12
3106,2012,Salary Grade 12
3128,1995,Salary Grade 12
3133,2004,Executive
3165,2013,Salary Grade Less 12
3177,2010,Salary Grade Less 12
3227,2005,Salary Grade Less 12
3228,2008,Salary Grade Less 12
3231,2015,Salary Grade Less 12
3242,2014,Executive
3248,2013,Salary Grade Less 12
3277,2006,Salary Grade 12
3283,2008,Salary Grade Less 12
3293,2003,Executive
3344,2010,Salary Grade Less 12
3345,2002,Salary Grade Less 12
3370,2010,Salary Grade 12
3373,2007,Salary Grade 12
3383,2001,Executive
3385,2010,Salary Grade Less 12
3399,2012,Nonexempt
3404,2013,Salary Grade Less 12
3447,2011,Executive
3461,2014,Salary Grade Less 12
3475,2011,Salary Grade Less 12
3495,1987,Senior Executive
3498,2014,Salary Grade Less 12
3530,2012,Salary Grade Less 12
3536,2013,Salary Grade Less 12
3544,1988,Senior Executive
3545,2002,Salary Grade Less 12
3546,1993,Salary Grade 12
3547,1984,Executive
3548,1986,Executive
3549,1976,Executive
3550,1992,Executive
3551,2001,Salary Grade Less 12
3552,2004,Nonexempt
3553,2006,Nonexempt
3554,2005,Salary Grade Less 12
3555,2015,Nonexempt
3556,1982,Salary Grade Less 12
3557,1986,Salary Grade Less 12
3558,1985,Salary Grade Less 12
3559,1986,Salary Grade Less 12
3560,1993,Salary Grade Less 12
3561,2002,Nonexempt
3562,1988,Salary Grade Less 12
3563,1981,Salary Grade Less 12
3564,1993,Salary Grade Less 12
3565,1998,Nonexempt
3566,1994,Salary Grade Less 12
3567,2007,Salary Grade Less 12
3568,1999,Salary Grade 12
3569,1988,Salary Grade 12
3570,2000,Salary Grade 12
3571,1994,Salary Grade Less 12
3572,1989,Salary Grade 12
3573,2006,Salary Grade Less 12
3574,1993,Salary Grade Less 12
3575,2006,Salary Grade Less 12
3576,2002,Salary Grade Less 12
3577,1988,Executive
3578,1987,Salary Grade Less 12
3579,1984,Nonexempt
3580,1990,Nonexempt
3581,1996,Salary Grade Less 12
3582,1989,Salary Grade Less 12
3583,1991,Salary Grade Less 12
3584,2013,Nonexempt
3585,1999,Salary Grade Less 12
3586,1997,Salary Grade Less 12
3587,1988,Hourly
3588,2010,Hourly
3589,1985,Hourly
3590,2012,Hourly
3591,1993,Hourly
3592,2011,Hourly
3593,2010,Hourly
3594,1987,Hourly
3595,2005,Hourly
3596,2004,Hourly
3598,2015,Hourly
3599,2004,Hourly
3600,2014,Hourly
3601,2005,Hourly
3602,2015,Hourly
3603,1999,Hourly
3604,2013,Nonexempt
3605,2015,Nonexempt
3606,2015,Hourly
3607,2015,Hourly
3608,2010,Hourly
3609,2015,Hourly
3610,2015,Hourly
3611,2013,Hourly
3612,2013,Hourly
3613,2013,Hourly
3614,2005,Hourly
3615,2014,Hourly
3616,2000,Hourly
3617,2015,Hourly
3619,2015,Hourly
3620,2015,Hourly
3621,2015,Hourly
3624,2015,Hourly
3629,2011,Hourly
3630,1991,Hourly
3631,1993,Hourly
3632,2006,Hourly
3633,1995,Hourly
3634,2004,Hourly
3635,2006,Hourly
3637,2007,Hourly
3639,1988,Hourly
3640,2011,Hourly
3641,1983,Hourly
3642,1992,Hourly
3643,2005,Hourly
3645,1990,Hourly
3646,2004,Hourly
3647,1999,Hourly
3648,1999,Hourly
3649,2003,Hourly
3650,1998,Hourly
3651,1985,Hourly
3652,2004,Hourly
3653,2010,Hourly
3654,2006,Hourly
3655,1996,Hourly
3656,1993,Hourly
3657,2002,Hourly
3658,1993,Hourly
3659,2011,Hourly
3660,1997,Hourly
3661,1984,Hourly
3662,2004,Hourly
3663,2006,Hourly
3664,1998,Hourly
3665,2010,Hourly
3666,2004,Hourly
3667,2000,Hourly
3668,1988,Hourly
3669,1995,Hourly
3670,2005,Hourly
3671,1986,Hourly
3672,1994,Hourly
3673,1987,Hourly
3674,2011,Hourly
3675,1989,Hourly
3676,2005,Hourly
3677,2002,Hourly
3678,2005,Hourly
3679,1988,Hourly
3680,2000,Hourly
3681,2002,Hourly
3682,2006,Hourly
3683,1997,Hourly
3684,1999,Hourly
3685,2004,Hourly
3686,2000,Hourly
3687,1990,Hourly
3688,1999,Hourly
3689,2004,Hourly
3690,2000,Hourly
3691,1995,Hourly
3693,2003,Hourly
3694,2014,Hourly
3696,2007,Hourly
3697,1995,Hourly
3698,2008,Hourly
3699,2011,Hourly
3700,2014,Hourly
3702,2006,Hourly
3703,2013,Hourly
3706,2013,Hourly
3708,2015,Hourly
3709,2015,Hourly
3712,2015,Hourly
3713,2015,Hourly
3714,2015,Hourly
3715,1984,Hourly
3716,2012,Hourly
3717,2004,Hourly
3718,2004,Hourly
3719,2008,Hourly
3720,2012,Hourly
3721,1990,Hourly
3722,2004,Hourly
3723,2002,Hourly
3724,2012,Hourly
3725,1990,Hourly
3726,2010,Hourly
3727,1986,Hourly
3728,1988,Hourly
3729,2005,Hourly
3730,1999,Hourly
3731,1994,Hourly
3732,1994,Hourly
3733,2005,Hourly
3734,1999,Hourly
3735,2005,Hourly
3736,2000,Hourly
3738,2013,Hourly
3740,2014,Hourly
3741,2014,Hourly
3743,2014,Hourly
3746,2014,Hourly
3747,2012,Hourly
3748,2015,Hourly
3749,2014,Hourly
3750,2015,Hourly
3752,2015,Hourly
3753,2000,Hourly
3754,2015,Hourly
3755,2011,Hourly
3756,2011,Hourly
3757,2010,Hourly
3759,2014,Hourly
3760,2015,Hourly
3763,2011,Hourly
3765,2015,Hourly
3766,2012,Hourly
3767,2004,Hourly
3768,2005,Hourly
3769,1998,Hourly
3770,2008,Hourly
3771,2008,Hourly
3772,2012,Hourly
3773,2011,Hourly
3774,2011,Hourly
3775,2004,Hourly
3776,2013,Hourly
3777,2013,Hourly
3779,2015,Hourly
3780,2013,Hourly
3781,2014,Hourly
3782,1998,Hourly
3785,2013,Hourly
3787,2013,Hourly
3790,2014,Hourly
3791,2014,Hourly
3793,2015,Hourly
3794,2014,Hourly
3797,2005,Hourly
3798,2012,Hourly
3799,2015,Hourly
3800,2010,Hourly
3801,2015,Hourly
3803,2006,Hourly
3804,2010,Hourly
3805,1999,Hourly
3806,2015,Hourly
3808,1998,Hourly
3809,1999,Hourly
3810,2006,Hourly
3811,2015,Hourly
3812,2015,Hourly
3813,2015,Hourly
3814,2011,Hourly
3815,2015,Hourly
3816,2014,Hourly
3818,2015,Hourly
3820,2015,Hourly
3822,2012,Hourly
3823,2012,Hourly
3824,2015,Hourly
3826,2007,Hourly
3828,2015,Hourly
3830,2013,Hourly
3832,2001,Salary Grade Less 12
3833,1988,Hourly
3834,1991,Salary Grade Less 12
3835,2000,Hourly
3836,2000,Nonexempt
3837,1993,Nonexempt
3838,2013,Salary Grade Less 12
3839,2004,Salary Grade Less 12
3840,2013,Salary Grade Less 12
3841,2005,Salary Grade Less 12
3842,2014,Salary Grade Less 12
3843,1985,Salary Grade Less 12
3844,1988,Nonexempt
3845,2001,Salary Grade Less 12
3846,1987,Salary Grade Less 12
3847,2011,Nonexempt
3848,2001,Nonexempt
3849,2005,Salary Grade Less 12
3850,2015,Nonexempt
3851,1992,Salary Grade Less 12
3852,2001,Salary Grade Less 12
3853,2014,Salary Grade Less 12
3854,1995,Salary Grade Less 12
3855,1982,Nonexempt
3856,1981,Salary Grade Less 12
3857,2013,Nonexempt
3858,1983,Salary Grade Less 12
3859,2014,Salary Grade Less 12
3860,2011,Salary Grade Less 12
3861,2012,Salary Grade Less 12
3862,2015,Salary Grade Less 12
3863,2014,Salary Grade Less 12
3866,1996,Salary Grade Less 12
3867,2002,Salary Grade Less 12
3868,1984,Salary Grade 12
3869,1986,Salary Grade Less 12
3870,1980,Salary Grade 12
3871,1981,Salary Grade 12
3872,1988,Salary Grade 12
3873,1992,Salary Grade Less 12
3874,2000,Nonexempt
3875,1991,Nonexempt
3876,2012,Salary Grade Less 12
3877,2004,Hourly
3878,1995,Nonexempt
3879,1991,Nonexempt
3880,2000,Nonexempt
3881,2004,Nonexempt
3882,1993,Nonexempt
3883,1993,Nonexempt
3884,1993,Nonexempt
3885,2005,Nonexempt
3886,2000,Nonexempt
3887,1999,Nonexempt
3888,2015,Nonexempt
3889,2015,Hourly
3890,2010,Nonexempt
3891,1987,Nonexempt
3893,2000,Nonexempt
3895,1986,Salary Grade Less 12
3896,1992,Salary Grade Less 12
3897,1999,Hourly
3898,2010,Hourly
3899,2001,Hourly
3900,2003,Hourly
3901,1997,Hourly
3902,1987,Hourly
3903,2008,Hourly
3904,2005,Hourly
3905,2011,Hourly
3906,1992,Hourly
3907,2004,Hourly
3908,2012,Hourly
3909,2004,Hourly
3910,2000,Hourly
3911,2013,Hourly
3912,2004,Hourly
3913,2012,Hourly
3914,2012,Hourly
3915,2012,Hourly
3919,2015,Hourly
3921,2015,Hourly
3922,2015,Hourly
3925,2006,Hourly
3928,2013,Hourly
3929,2013,Hourly
3930,2015,Hourly
3932,2003,Nonexempt
3933,2002,Nonexempt
3934,2015,Nonexempt
3935,2011,Hourly
3936,1997,Nonexempt
3937,1993,Hourly
3938,2013,Nonexempt
3939,2005,Nonexempt
3940,2006,Nonexempt
3941,2005,Nonexempt
3942,2013,Hourly
3943,2014,Nonexempt
3944,1978,Salary Grade Less 12
3945,1993,Hourly
3946,1993,Hourly
3947,2010,Hourly
3948,2004,Hourly
3949,2000,Hourly
3951,1988,Hourly
3952,2004,Hourly
3953,2012,Hourly
3954,2000,Hourly
3955,2006,Hourly
3956,2013,Hourly
3957,2005,Hourly
3958,2005,Hourly
3960,2015,Hourly
3961,1998,Salary Grade Less 12
3963,2015,Hourly
3965,2010,Hourly
3967,2002,Hourly
3969,2010,Hourly
3970,2004,Hourly
3973,1995,Hourly
3974,1995,Hourly
3975,2005,Nonexempt
3976,2011,Hourly
3977,2015,Hourly
3978,2013,Hourly
3979,2015,Hourly
3980,2006,Hourly
3982,1994,Hourly
3983,2013,Hourly
3986,2004,Salary Grade Less 12
3987,1991,Salary Grade Less 12
3988,2000,Salary Grade Less 12
3989,2011,Hourly
3990,2012,Hourly
3991,2011,Hourly
3995,1998,Hourly
3996,2014,Hourly
3997,2005,Hourly
3998,1991,Hourly
3999,2011,Hourly
4001,2007,Hourly
4002,2005,Hourly
4003,1991,Salary Grade Less 12
4004,2003,Salary Grade Less 12
4006,2005,Salary Grade Less 12
4008,1996,Salary Grade Less 12
4009,2015,Salary Grade Less 12
4010,1995,Salary Grade Less 12
4011,1996,Salary Grade Less 12
4012,2013,Nonexempt
4013,1999,Nonexempt
4014,1996,Nonexempt
4015,1989,Nonexempt
4016,1997,Nonexempt
4017,2004,Nonexempt
4018,2013,Nonexempt
4019,2005,Nonexempt
4032,2002,Salary Grade Less 12
4033,1980,Executive
4050,2013,Salary Grade Less 12
4052,2010,Salary Grade Less 12
4061,2010,Salary Grade Less 12
4065,2012,Hourly
4110,1992,Nonexempt
4111,1994,Salary Grade Less 12
4112,1992,Hourly
4113,1991,Salary Grade Less 12
4114,1994,Nonexempt
4115,1993,Salary Grade Less 12
4116,1992,Hourly
4117,1994,Salary Grade 12
4118,1993,Executive
4119,1990,Executive
4120,1994,Nonexempt
4121,1995,Nonexempt
4122,1993,Salary Grade Less 12
4123,1992,Nonexempt
4124,1992,Hourly
4125,1992,Salary Grade Less 12
4126,1983,Salary Grade 12
4127,1990,Nonexempt
4128,1993,Nonexempt
4129,1989,Salary Grade Less 12
4130,1979,Nonexempt
4131,1979,Nonexempt
4132,1982,Salary Grade 12
4133,1992,Hourly
4134,1977,Nonexempt
4135,1979,Nonexempt
4136,1993,Salary Grade 12
4137,1982,Salary Grade 12
4138,1984,Salary Grade Less 12
4139,1994,Salary Grade Less 12
4140,1991,Nonexempt
4141,1994,Hourly
4142,1991,Hourly
4143,1993,Salary Grade Less 12
4144,1990,Salary Grade Less 12
4145,1992,Salary Grade Less 12
4146,1992,Executive
4147,1992,Hourly
4148,1993,Hourly
4149,1991,Salary Grade Less 12
4150,1992,Hourly
4151,1994,Hourly
4152,1993,Hourly
4153,1994,Hourly
4154,1990,Nonexempt
4155,1989,Salary Grade Less 12
4156,1992,Nonexempt
4157,1995,Hourly
4158,1990,Nonexempt
4159,1993,Nonexempt
4160,1992,Executive
4161,1990,Hourly
4162,1994,Executive
4163,1992,Hourly
4164,1993,Hourly
4165,1992,Hourly
4166,1991,Nonexempt
4167,1991,Nonexempt
4168,1992,Hourly
4169,1992,Hourly
4170,1992,Hourly
4171,1993,Hourly
4172,1989,Hourly
4173,1992,Salary Grade Less 12
4174,1992,Hourly
4175,1993,Salary Grade Less 12
4176,1994,Hourly
4177,1993,Nonexempt
4178,1992,Salary Grade Less 12
4179,1990,Hourly
4180,1991,Hourly
4181,1993,Salary Grade Less 12
4182,1992,Nonexempt
4183,1992,Nonexempt
4184,1992,Hourly
4185,1992,Salary Grade 12
4186,1993,Executive
4187,1997,Nonexempt
4188,1996,Salary Grade Less 12
4189,1994,Hourly
4190,1992,Nonexempt
4191,1992,Hourly
4192,1992,Hourly
4193,1991,Salary Grade Less 12
4194,1994,Hourly
4195,1992,Hourly
4196,1992,Hourly
4197,1999,Hourly
4198,1993,Hourly
4199,1993,Hourly
4200,1995,Hourly
4201,1989,Nonexempt
4202,1991,Hourly
4203,1998,Salary Grade Less 12
4204,1995,Executive
4205,1996,Hourly
